date,hour,target1,target2
2018-01-01,1,26.2499,33.1818
2018-01-01,2,25.9304,18.8723
2018-01-01,3,26.6468,28.8056
2018-01-01,4,25.6137,30.0683
2018-01-01,5,29.8101,32.5069
2018-01-01,6,37.5947,37.9753
2018-01-01,7,56.2737,46.4153
2018-01-01,8,58.9204,39.9158
2018-01-01,9,49.8913,41.8416
2018-01-01,10,54.7372,58.9807
2018-01-01,11,60.1896,49.7284
2018-01-01,12,60.4354,46.2788
2018-01-01,13,50.0373,50.6847
2018-01-01,14,49.0462,49.8852
2018-01-01,15,48.7018,49.7914
2018-01-01,16,51.526,55.5652
2018-01-01,17,60.9336,81.2171
2018-01-01,18,89.6038,103.2264
2018-01-01,19,95.1477,70.6165
2018-01-01,20,78.5948,87.6705
2018-01-01,21,80.2194,129.8614
2018-01-01,22,77.7498,55.1065
2018-01-01,23,67.5089,100.346
2018-01-01,24,58.117,47.0813
2018-01-02,1,69.4472,35.886
2018-01-02,2,63.8607,45.7004
2018-01-02,3,64.6221,48.6828
2018-01-02,4,64.5096,37.5523
2018-01-02,5,69.9895,42.4775
2018-01-02,6,80.6734,39.8231
2018-01-02,7,87.3688,39.3084
2018-01-02,8,106.6073,60.8284
2018-01-02,9,89.8787,55.6224
2018-01-02,10,84.3272,55.8365
2018-01-02,11,89.0893,94.4649
2018-01-02,12,81.8144,95.8958
2018-01-02,13,69.0348,65.758
2018-01-02,14,67.0479,55.1367
2018-01-02,15,65.1048,31.6696
2018-01-02,16,62.8299,31.0878
2018-01-02,17,68.0629,32.4008
2018-01-02,18,86.508,57.5602
2018-01-02,19,89.0067,50.9383
2018-01-02,20,80.2083,28.1272
2018-01-02,21,75.2554,49.9566
2018-01-02,22,72.5008,55.2581
2018-01-02,23,66.5736,26.3868
2018-01-02,24,55.7731,32.6577
2018-01-03,1,34.3909,26.16
2018-01-03,2,29.3744,35.0722
2018-01-03,3,36.2721,37.6573
2018-01-03,4,39.3434,48.2763
2018-01-03,5,45.684,50.7041
2018-01-03,6,62.3288,50.0556
2018-01-03,7,73.7694,43.0908
2018-01-03,8,77.1589,94.7293
2018-01-03,9,73.9207,62.3478
2018-01-03,10,57.7062,42.3284
2018-01-03,11,52.4328,48.6407
2018-01-03,12,45.2554,45.5171
2018-01-03,13,40.9223,42.3978
2018-01-03,14,39.1508,36.8408
2018-01-03,15,37.5818,38.0709
2018-01-03,16,36.6404,39.2189
2018-01-03,17,37.2405,26.5084
2018-01-03,18,45.1743,35.3495
2018-01-03,19,42.8869,31.325
2018-01-03,20,38.7131,21.4073
2018-01-03,21,34.4911,26.8175
2018-01-03,22,32.9329,33.417
2018-01-03,23,31.4408,34.2196
2018-01-03,24,28.0992,22.1925
2018-01-04,1,25.3395,27.6893
2018-01-04,2,23.9145,27.5284
2018-01-04,3,24.3706,22.0735
2018-01-04,4,24.6163,27.1743
2018-01-04,5,27.0932,23.879
2018-01-04,6,29.5845,24.1471
2018-01-04,7,33.2496,22.3166
2018-01-04,8,37.9219,23.2834
2018-01-04,9,35.4539,26.922
2018-01-04,10,34.0511,23.2478
2018-01-04,11,28.3614,64.7197
2018-01-04,12,25.2248,23.8573
2018-01-04,13,21.192,21.6816
2018-01-04,14,19.8935,19.2039
2018-01-04,15,18.8639,18.2488
2018-01-04,16,18.0462,17.7013
2018-01-04,17,18.0181,15.9979
2018-01-04,18,20.371,16.9985
2018-01-04,19,19.777,7.4334
2018-01-04,20,17.367,1.6627
2018-01-04,21,14.6851,10.1176
2018-01-04,22,12.3532,1.7014
2018-01-04,23,12.5048,5.4785
2018-01-04,24,8.9181,-6.2191
2018-01-05,1,10.9637,4.0053
2018-01-05,2,9.6371,13.6179
2018-01-05,3,9.8246,11.9823
2018-01-05,4,10.7887,10.9263
2018-01-05,5,14.8243,18.4877
2018-01-05,6,16.8316,18.2423
2018-01-05,7,17.4392,13.099
2018-01-05,8,19.0737,17.3848
2018-01-05,9,19.9992,16.7607
2018-01-05,10,19.4511,17.1483
2018-01-05,11,18.7884,17.2036
2018-01-05,12,18.2229,18.3778
2018-01-05,13,18.1067,18.1301
2018-01-05,14,17.546,15.8585
2018-01-05,15,17.4972,20.5057
2018-01-05,16,17.4295,18.7408
2018-01-05,17,18.3587,21.5038
2018-01-05,18,25.6978,66.5264
2018-01-05,19,21.4592,18.3077
2018-01-05,20,20.0282,18.3614
2018-01-05,21,19.8851,18.8412
2018-01-05,22,19.2415,17.1369
2018-01-05,23,19.4083,16.9308
2018-01-05,24,17.5168,15.8279
2018-01-06,1,17.4775,16.6554
2018-01-06,2,17.5781,13.1439
2018-01-06,3,17.7342,16.8134
2018-01-06,4,18.4877,17.8837
2018-01-06,5,19.9441,18.6534
2018-01-06,6,23.4427,18.3044
2018-01-06,7,29.3041,20.3801
2018-01-06,8,28.3399,21.7016
2018-01-06,9,29.9677,22.0236
2018-01-06,10,33.5965,22.7765
2018-01-06,11,33.1254,35.0766
2018-01-06,12,32.0983,23.1999
2018-01-06,13,28.3606,22.8587
2018-01-06,14,27.6943,21.2683
2018-01-06,15,25.5917,22.0402
2018-01-06,16,23.3137,20.4132
2018-01-06,17,23.0754,20.2111
2018-01-06,18,29.5562,19.1893
2018-01-06,19,25.3151,17.6549
2018-01-06,20,22.1466,14.2119
2018-01-06,21,20.942,14.8515
2018-01-06,22,17.6766,14.6163
2018-01-06,23,16.066,13.6318
2018-01-06,24,13.6384,12.1053
2018-01-07,1,14.8317,4.6184
2018-01-07,2,14.1475,13.8177
2018-01-07,3,13.7134,22.5232
2018-01-07,4,13.2898,14.8342
2018-01-07,5,14.5154,13.283
2018-01-07,6,16.3765,15.9301
2018-01-07,7,22.3134,19.534
2018-01-07,8,21.5926,17.8224
2018-01-07,9,20.4497,17.3574
2018-01-07,10,22.1806,18.9318
2018-01-07,11,21.5956,20.0525
2018-01-07,12,18.9721,20.3428
2018-01-07,13,17.1328,19.6349
2018-01-07,14,16.4725,110.9318
2018-01-07,15,16.0307,19.8774
2018-01-07,16,15.8393,19.2948
2018-01-07,17,16.4125,19.6371
2018-01-07,18,23.1198,19.7261
2018-01-07,19,19.2817,17.9533
2018-01-07,20,15.0167,14.3674
2018-01-07,21,14.7824,13.8985
2018-01-07,22,13.6148,10.4279
2018-01-07,23,13.6699,4.4839
2018-01-07,24,6.9774,4.4707
2018-01-08,1,3.5775,7.1316
2018-01-08,2,2.6992,9.0227
2018-01-08,3,6.6317,6.0353
2018-01-08,4,6.173,10.0112
2018-01-08,5,7.715,14.1087
2018-01-08,6,13.4787,16.7398
2018-01-08,7,21.5135,26.0845
2018-01-08,8,23.711,20.6173
2018-01-08,9,22.4928,18.889
2018-01-08,10,20.3243,20.0511
2018-01-08,11,19.3557,19.3808
2018-01-08,12,17.6554,16.3047
2018-01-08,13,14.7871,16.8391
2018-01-08,14,12.8083,16.4062
2018-01-08,15,12.3678,13.8457
2018-01-08,16,12.0202,17.7723
2018-01-08,17,13.6819,15.3723
2018-01-08,18,20.6752,20.345
2018-01-08,19,20.3586,18.4197
2018-01-08,20,17.0386,18.3486
2018-01-08,21,15.8146,18.1687
2018-01-08,22,12.5743,17.5661
2018-01-08,23,9.8071,20.5986
2018-01-08,24,6.3611,9.7328
2018-01-09,1,7.6542,16.2783
2018-01-09,2,6.5137,11.04
2018-01-09,3,5.3876,14.9677
2018-01-09,4,6.7592,14.5726
2018-01-09,5,10.2319,26.6245
2018-01-09,6,13.8688,19.1342
2018-01-09,7,18.1673,17.2717
2018-01-09,8,20.3192,36.3671
2018-01-09,9,18.2171,17.8834
2018-01-09,10,19.3759,17.4789
2018-01-09,11,19.3069,17.7504
2018-01-09,12,19.637,16.7977
2018-01-09,13,18.4768,17.45
2018-01-09,14,18.3779,21.2472
2018-01-09,15,18.6365,16.5641
2018-01-09,16,19.3409,17.9655
2018-01-09,17,21.0335,13.4616
2018-01-09,18,32.8225,15.6136
2018-01-09,19,33.8718,20.9873
2018-01-09,20,30.0026,21.6172
2018-01-09,21,29.5821,22.6111
2018-01-09,22,27.1535,22.6951
2018-01-09,23,23.7801,21.555
2018-01-09,24,21.8344,21.6588
2018-01-10,1,27.6011,20.9935
2018-01-10,2,28.1706,21.5291
2018-01-10,3,30.4343,23.2982
2018-01-10,4,31.7402,22.5419
2018-01-10,5,33.7872,21.9269
2018-01-10,6,38.4057,30.59
2018-01-10,7,48.3104,36.9093
2018-01-10,8,52.8839,68.526
2018-01-10,9,45.1631,69.7558
2018-01-10,10,48.3531,306.7243
2018-01-10,11,46.5327,31.0133
2018-01-10,12,42.0733,31.2336
2018-01-10,13,37.8128,26.6302
2018-01-10,14,35.1979,25.7032
2018-01-10,15,33.6068,24.9277
2018-01-10,16,33.3174,24.0316
2018-01-10,17,36.1491,26.0082
2018-01-10,18,49.4199,29.4561
2018-01-10,19,48.765,26.6418
2018-01-10,20,42.0213,25.3045
2018-01-10,21,38.6421,24.0748
2018-01-10,22,34.6622,23.1572
2018-01-10,23,34.5674,24.6444
2018-01-10,24,29.9031,22.2926
2018-01-11,1,36.4082,24.456
2018-01-11,2,33.3957,23.7573
2018-01-11,3,34.8517,24.5967
2018-01-11,4,36.6068,27.2587
2018-01-11,5,39.6648,30.9734
2018-01-11,6,41.4018,30.8826
2018-01-11,7,44.1654,26.4833
2018-01-11,8,51.0479,34.0213
2018-01-11,9,55.2769,35.9082
2018-01-11,10,55.6516,61.0477
2018-01-11,11,51.3296,40.9363
2018-01-11,12,49.2392,36.7954
2018-01-11,13,46.7754,28.8605
2018-01-11,14,42.5724,26.5572
2018-01-11,15,39.5778,23.8153
2018-01-11,16,35.9594,23.4782
2018-01-11,17,37.1525,25.8388
2018-01-11,18,50.9334,23.7872
2018-01-11,19,47.2807,28.0816
2018-01-11,20,38.4798,28.0907
2018-01-11,21,38.6157,26.9629
2018-01-11,22,32.6152,26.2656
2018-01-11,23,31.9155,20.3097
2018-01-11,24,25.0741,16.3395
2018-01-12,1,23.2185,28.1524
2018-01-12,2,22.2725,21.6318
2018-01-12,3,22.5292,19.9288
2018-01-12,4,22.5208,23.0482
2018-01-12,5,24.674,24.3931
2018-01-12,6,25.96,37.3033
2018-01-12,7,26.8571,38.045
2018-01-12,8,33.1362,27.2151
2018-01-12,9,34.2756,23.0315
2018-01-12,10,37.0538,26.5075
2018-01-12,11,32.5099,26.65
2018-01-12,12,32.1552,26.022
2018-01-12,13,28.7807,27.3297
2018-01-12,14,27.3715,26.2776
2018-01-12,15,25.5081,23.8639
2018-01-12,16,24.1901,21.9739
2018-01-12,17,26.6199,25.5742
2018-01-12,18,39.9903,27.0066
2018-01-12,19,34.2019,24.5799
2018-01-12,20,25.9163,20.2461
2018-01-12,21,23.5288,14.3114
2018-01-12,22,20.5982,9.5125
2018-01-12,23,18.7993,8.508
2018-01-12,24,17.9652,5.04
2018-01-13,1,18.7235,15.6003
2018-01-13,2,17.8337,6.1778
2018-01-13,3,18.4801,17.6864
2018-01-13,4,18.3484,17.6415
2018-01-13,5,20.2614,22.1221
2018-01-13,6,23.0722,29.9858
2018-01-13,7,25.9371,20.3438
2018-01-13,8,29.529,16.8391
2018-01-13,9,29.382,18.3907
2018-01-13,10,28.7634,18.5065
2018-01-13,11,26.4239,18.0568
2018-01-13,12,25.5489,15.7444
2018-01-13,13,23.8227,16.7343
2018-01-13,14,23.9629,16.3103
2018-01-13,15,22.4181,15.3695
2018-01-13,16,22.6285,16.4883
2018-01-13,17,27.0632,19.0669
2018-01-13,18,37.3833,26.6757
2018-01-13,19,37.9663,24.6522
2018-01-13,20,38.5424,28.2807
2018-01-13,21,37.6961,23.5782
2018-01-13,22,35.5897,22.3071
2018-01-13,23,32.5704,22.8499
2018-01-13,24,28.4846,20.5912
2018-01-14,1,26.5462,22.055
2018-01-14,2,25.275,22.8661
2018-01-14,3,26.7974,25.3517
2018-01-14,4,28.3876,28.3016
2018-01-14,5,31.5319,26.1814
2018-01-14,6,35.9474,31.8909
2018-01-14,7,48.4625,29.9943
2018-01-14,8,54.097,43.0155
2018-01-14,9,48.248,44.6223
2018-01-14,10,55.0025,34.546
2018-01-14,11,49.8841,72.3733
2018-01-14,12,50.0691,103.9026
2018-01-14,13,47.1719,35.148
2018-01-14,14,47.2103,35.3594
2018-01-14,15,42.3513,30.7656
2018-01-14,16,41.3322,32.2978
2018-01-14,17,45.8326,38.4304
2018-01-14,18,65.9582,187.0236
2018-01-14,19,66.7187,84.1825
2018-01-14,20,57.4917,55.4056
2018-01-14,21,52.7019,84.4176
2018-01-14,22,47.2834,67.2604
2018-01-14,23,41.9729,107.052
2018-01-14,24,34.9764,48.197
2018-01-23,1,17.8806,13.2457
2018-01-23,2,17.1213,13.9587
2018-01-23,3,16.4487,14.8505
2018-01-23,4,17.1788,16.5663
2018-01-23,5,19.8836,17.6394
2018-01-23,6,23.66,27.7206
2018-01-23,7,33.8341,78.8114
2018-01-23,8,36.1568,19.6599
2018-01-23,9,31.139,11.1025
2018-01-23,10,27.5695,15.441
2018-01-23,11,21.7297,15.2876
2018-01-23,12,18.2765,19.6222
2018-01-23,13,15.7374,25.5437
2018-01-23,14,14.8909,4.8996
2018-01-23,15,13.6159,0.2774
2018-01-23,16,12.8049,-0.1455
2018-01-23,17,13.9214,-2.1869
2018-01-23,18,16.6109,15.6661
2018-01-23,19,19.0684,21.3712
2018-01-23,20,17.2089,17.6916
2018-01-23,21,15.1843,14.5313
2018-01-23,22,14.0449,10.5412
2018-01-23,23,11.8581,7.0806
2018-01-23,24,7.9169,2.6223
2018-01-24,1,10.3845,8.1791
2018-01-24,2,9.7107,0.5227
2018-01-24,3,9.9523,1.6519
2018-01-24,4,10.2134,1.6385
2018-01-24,5,10.4749,4.8152
2018-01-24,6,17.4305,21.9223
2018-01-24,7,24.2884,15.2308
2018-01-24,8,24.975,19.0309
2018-01-24,9,22.7424,20.9291
2018-01-24,10,20.4036,17.6868
2018-01-24,11,18.4892,16.6277
2018-01-24,12,16.6935,18.0013
2018-01-24,13,15.5602,15.2301
2018-01-24,14,14.7552,17.2488
2018-01-24,15,15.3949,16.3086
2018-01-24,16,16.173,17.2416
2018-01-24,17,17.0521,13.0745
2018-01-24,18,21.3678,15.2482
2018-01-24,19,22.5838,17.7005
2018-01-24,20,19.3845,14.4404
2018-01-24,21,18.3531,14.6542
2018-01-24,22,17.823,13.8695
